"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_SPST";;;
2;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Audio  Out";;;
3;"D1";"D_A-405_P7.62mm_Horizontal";1;"D_Zener 7.5V";;;
4;"Q7,Q1,Q6";"TO-92_Inline_Wide";3;"2N3904";;;
5;"R21,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"510K";;;
6;"R22,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10K";;;
7;"U1,U5,U4,U2,U3";"DIP-8_W7.62mm_Socket";5;"LM741";;;
8;"Q2,Q4,Q5,Q3";"TO-92_Inline_Wide";4;"2N5457 (JFET)";;;
9;"R15,R9,R4,R8,R11,R3,R1,R7,R6,R5,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";11;"100K";;;
10;"C12";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"223";;;
11;"R25,R23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"150K";;;
12;"C10";"CP_Radial_D10.0mm_P5.00mm";1;"220µF";;;
13;"C1,C2,C4,C3";"C_Disc_D3.0mm_W1.6mm_P2.50mm";4;"103";;;
14;"R18,R13,R16,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"22K";;;
15;"RV3";"Potentiometer_Runtron_RM-065_Vertical";1;"100K";;;
16;"RV2,RV1";"PinHeader_1x02_P2.54mm_Vertical";2;"50K";;;
17;"C5,C7,C6";"C_Disc_D3.0mm_W1.6mm_P2.50mm";3;"154";;;
18;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Audio In";;;
19;"C11";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"334";;;
20;"R19,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"2.2K";;;
21;"C8";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"102";;;
22;"R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"390K";;;
23;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47K";;;
24;"C9";"CP_Radial_D5.0mm_P2.50mm";1;"22µF";;;
25;"C14";"CP_Radial_D5.0mm_P2.50mm";1;"10µF";;;
26;"R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"5.1K";;;
27;"R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"43K";;;
28;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"9V";;;
