Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,9V Battery,
"C1, C2, C3, C4",C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,4,103,
C10,CP_Radial_D10.0mm_P5.00mm,1,220µF,
C11,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,334,
C12,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,223,
C14,CP_Radial_D5.0mm_P2.50mm,1,10µF,
"C5, C6, C7",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,154,
C8,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,102,
C9,CP_Radial_D5.0mm_P2.50mm,1,22µF,
D1,D_A-405_P7.62mm_Horizontal,1,Z7.5V,
J1,PinHeader_1x02_P2.54mm_Vertical_TR,1,AudioJack3,
J2,PinHeader_1x03_P2.54mm_Vertical_TRS,1,AudioJack3,
"Q1, Q6, Q7",TO-92_Inline_Wide,3,2N3904,
"Q2, Q3, Q4, Q5",TO-92_Inline_Wide,4,2N5457,
"R1, R10, R11, R15, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,11,100K,
"R12, R13, R16, R18",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,22K,
"R14, R22",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10K,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,47K,
"R19, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,2.2K,
R20,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,330K,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,470K,
"R23, R25",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,150K,
R24,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,510K,
R26,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,5.1K,
R27,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,43K,
R28,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,56K,
R29,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,3.9K,
R30,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,39K,
R31,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1K,
"RV1, RV2",PinHeader_1x02_P2.54mm_Vertical,2,50K,
RV3,Potentiometer_Bourns_3296Y_Vertical,1,100K,
SW2,PinHeader_1x02_P2.54mm_Vertical_2_3,1,SW_DPDT_x2,
"U1, U2, U3, U4, U5",DIP-8_W7.62mm_Socket,5,LM741,
